FECHA_CORTE,DEPARTAMENTO,MUNICIPIO,PRIORIZACION,ZONA,DIFICULTADACCESO,NOMBRE_CENTRO_POBLADO,TIPO_SITIO,TIPO_CONECTIVIDAD,NOMBRE_INSTITUCION_EDUCATIVA,NOMBRE_SEDE_EDUCATIVA,ESTADOS,TIPO_ENERGIA,DETALLE_SITIO,USUARIOS_ACTIVOS_MES,VELOCIDAD_CONEXION_SUBIDA,VELOCIDAD_CONEXION_BAJADA,TRAFICO_MENSUAL_SUBIDA,TRAFICO_MENSUAL_BAJADA,INVERSION,META
2020-07-31,SANTANDER,PUERTO WILCHES,NO APLICA,RURAL,MEDIO,VIJAGUAL,SEDES EDUCATIVAS,SATELITAL,INSTITUTO AGROPECUARIO SAN PEDRO DE VIJAGUAL,INSTITUTO AGROPECUARIO SAN PEDRO DE VIJAGUAL,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,MOLAGAVITA,NO APLICA,RURAL,SIN INFORMACION,VEREDA TOMA DE AGUA,SEDES EDUCATIVAS,SATELITAL,INSTITUCION EDUCATIVA  LAGUNITAS,ESCUELA RURAL MESETAS,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,SAN VICENTE DE CHUCURI,NO APLICA,RURAL,BAJO,VEREDA LA MERIDA,SEDES EDUCATIVAS,SATELITAL,I.E.  CANTAGALLOS,SEDE H MERIDA,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,SAN VICENTE DE CHUCURI,NO APLICA,RURAL,SIN INFORMACION,VEREDA PALMIRA,SEDES EDUCATIVAS,SATELITAL,INSTITUCION EDUCATIVA  PALMIRA,INSTITUCION EDUCATIVA  PALMIRA,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,LA BELLEZA,NO APLICA,RURAL,SIN INFORMACION,VEREDA MONTEBELLO,SEDES EDUCATIVAS,SATELITAL,INSTITUCION EDUCATIVA  EL RUBI,ESCUELA RURAL LOS VALLES,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,CARCASI,AUS,RURAL,BAJO,VEREDA ASTILLAL,SEDES EDUCATIVAS,SATELITAL,I.E. EL TOBAL,ESCUELA RURAL ASTILLAL,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,CERRITO,NO APLICA,RURAL,SIN INFORMACION,VEREDA PLATERA,SEDES EDUCATIVAS,SATELITAL,INSTITUCION EDUCATIVA JURADO,ESCUELA RURAL TACHIVA,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,PINCHOTE,NO APLICA,RURAL,SIN INFORMACION,VEREDA PIEDRA DEL SOL,SEDES EDUCATIVAS,SATELITAL,COLEGIO INTEGRADO PEDRO SANTOS,ESCUELA RURAL EL CUCHARO,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,SAN VICENTE DE CHUCURI,NO APLICA,RURAL,BAJO,YARIMA,SEDES EDUCATIVAS,SATELITAL,COLEGIO INTEGRADO YARIMA,COLEGIO INTEGRADO YARIMA,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,ZAPATOCA,NO APLICA,RURAL,SIN INFORMACION,VEREDA LA CACICA,SEDES EDUCATIVAS,SATELITAL,INSTITUCION EDUCATIVA  PALO BLANCO,ESCUELA RURAL LA CACICA,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,CONCEPCION,NO APLICA,RURAL,MEDIO,VEREDA CARABOBO SECTOR TABETA,SEDES EDUCATIVAS,SATELITAL,COLEGIO NUESTRA SEÑORA DE LA CONCEPCION,ESCUELA RURAL SAN FRANCISCO,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,CIMITARRA,NO APLICA,RURAL,MEDIO,VEREDA TIERRA ADENTRO,SEDES EDUCATIVAS,SATELITAL,COLEGIO AGROPECUARIO  TIERRA ADENTRO,COLEGIO AGROPECUARIO  TIERRA ADENTRO,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,VELEZ,NO APLICA,RURAL,BAJO,LOS GUAYABOS,SEDES EDUCATIVAS,SATELITAL,INSTITUCION EDUCATIVA CAÑO BONITO,ESCUELA RURAL LA TABLONA,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,CERRITO,NO APLICA,RURAL,MEDIO,VEREDA VOLCAN,SEDES EDUCATIVAS,SATELITAL,INSTITUCION EDUCATIVA JURADO,ESCUELA RURAL EL RODEO,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,SUCRE,NO APLICA,RURAL,BAJO,LA GRANJA,SEDES EDUCATIVAS,SATELITAL,COLEGIO INTEGRADO LA GRANJA,COLEGIO INTEGRADO LA GRANJA - SEDE PRINCIPAL,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,BARICHARA,NO APLICA,RURAL,BAJO,VEREDA SAN JOSE BAJO,SEDES EDUCATIVAS,SATELITAL,INSTITUCION EDUCATIVA PARAMITO,ESCUELA RURAL SAN JOSE BAJO,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,SUCRE,NO APLICA,RURAL,SIN INFORMACION,VEREDA MATA DE GUADA,SEDES EDUCATIVAS,SATELITAL,INSTITUCION EDUCATIVA ARALES,ESCUELA RURAL MATA DE GUADA,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,SAN VICENTE DE CHUCURI,AUS,RURAL,BAJO,EL CENTRO,SEDES EDUCATIVAS,SATELITAL,I.E.  CANTAGALLOS,I.E. CANTAGALLOS - SEDE PRINCIPAL,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,FLORIAN,NO APLICA,RURAL,MEDIO,VEREDA CASACOTE,SEDES EDUCATIVAS,SATELITAL,I.E. SANTA HELENA,ESCUELA RURAL CASACOTE,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,SABANA DE TORRES,NO APLICA,RURAL,SIN INFORMACION,SAN LUIS DE MAGARA,SEDES EDUCATIVAS,SATELITAL,COLEGIO  POZO CUATRO,ESCUELA  RURAL SAN LUIS DE MAGARA,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,ONZAGA,NO APLICA,RURAL,SIN INFORMACION,DE PADUA,SEDES EDUCATIVAS,SATELITAL,I.E.  PADUA,I.E.  PADUA - SEDE PRINCIPAL,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,PUENTE NACIONAL,NO APLICA,RURAL,MEDIO,VEREDA ALTO GUAMITO,SEDES EDUCATIVAS,SATELITAL,COLEGIO  AURELIO MARTINEZ MUTIS,ESCUELA RURAL ALTO GUAMITO,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,VELEZ,AUS,RURAL,BAJO,GUALILO,SEDES EDUCATIVAS,SATELITAL,INSTITUTO AGRICOLA  DE ALTO JORDAN,INSTITUTO AGRICOLA  DE ALTO JORDAN,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,LEBRIJA,AUS,RURAL,BAJO,EL CONCHAL,SEDES EDUCATIVAS,SATELITAL,INSTITUCION EDUCATIVA  LA ESTACION,ESCUELA RURAL EL LIBANO,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,GALAN,NO APLICA,RURAL,BAJO,VEREDA LA MESA,SEDES EDUCATIVAS,SATELITAL,INSTITUCION EDUCATIVA  SAN ISIDRO,ESCUELA RURAL LA MESA,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,BETULIA,AUS,RURAL,BAJO,VEREDA SAN RAFAEL,SEDES EDUCATIVAS,SATELITAL,INSTITUCION EDUCATIVA EL RAMO,ESCUELA RURAL SAN RAFAEL,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,TONA,AUS,RURAL,BAJO,VEREDA PARRA Y JUAN RODRIGUEZ,SEDES EDUCATIVAS,SATELITAL,COLEGIO LUZ DE LA ESPERANZA,ESCUELA RURAL EL TOPON,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,LEBRIJA,NO APLICA,RURAL,BAJO,VEREDA MIRABEL,SEDES EDUCATIVAS,SATELITAL,COLEGIO  PORTUGAL,ESCUELA RURAL MIRABEL,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,GUADALUPE,AUS,RURAL,BAJO,VEREDA MARARAY,SEDES EDUCATIVAS,SATELITAL,INSTITUTO TECNICO AGROPECUARIO,ESCUELA RURAL MARARAY,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,SURATA,AUS,RURAL,BAJO,CORREG. TURBAY,SEDES EDUCATIVAS,SATELITAL,COLEGIO FRANCISCO SAN JUAN,COLEGIO FRANCISCO SAN JUAN - SEDE PRINCIPAL,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,ENCISO,AUS,RURAL,BAJO,VEREDA COCHAGA,SEDES EDUCATIVAS,SATELITAL,COLEGIO JOSE DE FERRO,ESCUELA RURAL COCHAGA,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,MOLAGAVITA,AUS,RURAL,BAJO,VEREDA POTRERO GRANDE (BARRIAL),SEDES EDUCATIVAS,SATELITAL,INSTITUCION EDUCATIVA LLANO DE MOLAGAVITA,ESCUELA RURAL EL BARRIAL,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,RIONEGRO,AUS,RURAL,BAJO,VEREDA UNION DE GALA,SEDES EDUCATIVAS,SATELITAL,INSTITUCION EDUCATIVA  GALAPAGOS,ESCUELA RURAL UNION DE GALAPAGOS,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,PUERTO WILCHES,NO APLICA,RURAL,BAJO,PUENTE SOGAMOSO,SEDES EDUCATIVAS,SATELITAL,COLEGIO AGROPECUARIO PUENTE SOGAMOSO,COLEGIO AGROPECUARIO PUENTE SOGAMOSO,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
