DIRCON,NOMBRE_OPERADOR,OPERADOR,DANE DEPARTAMENTO,DEPARTAMENTO,DANE MUNICIPIO,MUNICIPIO,DANE CENTRO POBLADO,CENTRO POBLADO,ESTADO,COORDENADAS DE REFERENCIA LATITUD,COORDENADAS DE REFERENCIA LONGITUD,INICIO DE OPERACIÓN,FECHA FIN OPERACIÓN,FECHACORTE,VIGENCIA],N° USUARIOS ACTIVOS MES,TRAFICO MENSUAL (GB),VELOCIDAD SUBIDA (Mb),VELOCIDAD BAJADA (Mb),INVERSIÓN
71738,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68780,SURATA,68780000,CORREGIMIENTO CACHIRI,EN OPERACI�N,"7,46889000","-72,98944000",2019-12-11,2021-09-10,2020-07-31,2020-12-31,563,"295,13",1024,9216,"27007797,00"
71716,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68615,RIONEGRO,68615011,VEREDA SAN JOSE DE AREVALO,EN OPERACI�N,"7,41250000","-73,18556000",2019-12-08,2021-09-07,2020-10-31,2020-12-31,414,"235,36",1,9,"27007800,00"
71677,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68385,LANDAZURI,68385009,CORREGIMIENTO SAN IGNACIO DEL OP�N,EN OPERACI�N,"6,41056000","-73,68556000",2019-12-10,2021-09-09,2020-10-31,2020-12-31,530,"247,64",1,9,"27007800,00"
71722,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68684,SAN JOSE DE MIRANDA,68684000,VEREDA ANCHICUTA,EN OPERACI�N,"6,63806000","-72,71361000",2019-12-05,2021-09-04,2020-10-31,2020-12-31,132,"198,22",1,9,"27007800,00"
71725,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68689,SAN VICENTE DE CHUCURI,68689000,GUAYACAN EL LITORAL,EN OPERACI�N,"6,93639000","-73,41417000",2019-12-08,2021-09-07,2020-10-31,2020-12-31,37,"107,15",1,9,"27007800,00"
71673,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68370,JORDAN,68370000,PERIMETRO URBANO JORDAN,EN OPERACI�N,"6,73222000","-73,09556000",2019-12-11,2021-09-10,2020-07-31,2020-12-31,17,"26,41",1024,9216,"27007797,00"
71705,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68575,PUERTO WILCHES,68575023,KIL�METRO OCHO,EN OPERACI�N,"7,58611000","-73,82555000",2020-01-28,2021-10-27,2020-10-31,2020-12-31,633,"366,52",1,9,"27007800,00"
71679,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68406,LEBRIJA,68406000,CORREGIMIENTO URIBE URIBE,EN OPERACI�N,"7,18667000","-73,31083000",2019-12-07,2021-09-06,2020-07-31,2020-12-31,1730,"386,57",1024,9216,"27007797,00"
72289,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68855,VALLE DE SAN JOSE,68855000,SAN ISIDRO,EN OPERACI�N,"6,45194000","-73,10806000",2020-08-08,1900-01-01,2020-10-31,2020-12-31,128,"108,64",1,9,"27007800,00"
71676,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68397,LA PAZ,68397002,VEREDA TROCHAS,EN OPERACI�N,"6,32972000","-73,67861000",2019-12-11,2021-09-10,2020-10-31,2020-12-31,40,"59,45",1,9,"27007800,00"
