AÑO,TRIMESTRE,DEPARTAMENTO,MUNICIPIO,No. ACCESOS FIJOS A INTERNET,POBLACIÓN DANE,INDICE
2020,1,SANTANDER,CONTRATACION,175,3699,"0,0473"
2019,3,SANTANDER,PINCHOTE,540,5285,"0,1022"
2018,4,SANTANDER,GUAPOTA,38,2375,"0,016"
2018,3,SANTANDER,ONZAGA,69,4183,"0,0165"
2020,1,SANTANDER,LANDAZURI,75,10588,"0,0071"
2020,1,SANTANDER,VALLE DE SAN JOSE,133,6336,"0,021"
2019,2,SANTANDER,VETAS,29,2142,"0,0135"
2018,3,SANTANDER,MOLAGAVITA,36,4137,"0,0087"
2019,3,SANTANDER,TONA,66,7562,"0,0087"
2019,4,SANTANDER,BARBOSA,2428,31940,"0,076"
2018,3,SANTANDER,PIEDECUESTA,28936,170625,"0,1696"
2020,1,SANTANDER,SIMACOTA,40,10226,"0,0039"
2019,4,SANTANDER,SAN ANDRES,34,8613,"0,0039"
2018,4,SANTANDER,CARCASI,39,4292,"0,0091"
2018,3,SANTANDER,CONCEPCION,111,5738,"0,0193"
2019,2,SANTANDER,ONZAGA,71,4111,"0,0173"
2018,3,SANTANDER,CONTRATACION,203,3679,"0,0552"
2020,1,SANTANDER,JESUS MARIA,21,3339,"0,0063"
2020,1,SANTANDER,PUENTE NACIONAL,92,14844,"0,0062"
2018,3,SANTANDER,BOLIVAR,80,11287,"0,0071"
2018,4,SANTANDER,EL PE�ON,34,5279,"0,0064"
2020,1,SANTANDER,PINCHOTE,324,5385,"0,0602"
2019,3,SANTANDER,PALMAR,39,1386,"0,0281"
2018,3,SANTANDER,BARICHARA,423,10486,"0,0403"
2019,1,SANTANDER,JESUS MARIA,33,3337,"0,0099"
2019,3,SANTANDER,EL GUACAMAYO,59,2119,"0,0278"
2018,3,SANTANDER,CHIMA,26,2875,"0,009"
2020,1,SANTANDER,CHARALA,538,12272,"0,0438"
2019,1,SANTANDER,GIRON,26382,166843,"0,1581"
2019,1,SANTANDER,MATANZA,95,4999,"0,019"
2020,1,SANTANDER,JORDAN,10,1336,"0,0075"
2019,3,SANTANDER,VALLE DE SAN JOSE,61,6222,"0,0098"
2019,4,SANTANDER,CHIMA,13,2865,"0,0045"
2019,1,SANTANDER,OIBA,107,11004,"0,0097"
2019,3,SANTANDER,BOLIVAR,73,11073,"0,0066"
2020,1,SANTANDER,PIEDECUESTA,33486,182959,"0,183"
2018,3,SANTANDER,ZAPATOCA,304,9466,"0,0321"
2019,4,SANTANDER,OCAMONTE,17,5740,"0,003"
2019,4,SANTANDER,LA BELLEZA,252,6174,"0,0408"
2018,3,SANTANDER,PUERTO WILCHES,1596,32791,"0,0487"
2019,3,SANTANDER,SANTA HELENA DEL OPON,34,3393,"0,01"
2018,4,SANTANDER,CEPITA,32,2015,"0,0159"
2018,3,SANTANDER,EL GUACAMAYO,70,2167,"0,0323"
2020,1,SANTANDER,HATO,17,2370,"0,0072"
2019,3,SANTANDER,CALIFORNIA,46,2186,"0,021"
2020,1,SANTANDER,SOCORRO,3214,33628,"0,0956"
2019,4,SANTANDER,CEPITA,49,2018,"0,0243"
2019,1,SANTANDER,ALBANIA,31,4242,"0,0073"
2019,3,SANTANDER,GUAVATA,29,4200,"0,0069"
2019,4,SANTANDER,RIONEGRO,125,26746,"0,0047"
2019,3,SANTANDER,JORDAN,18,1325,"0,0136"
2019,1,SANTANDER,PALMAR,35,1386,"0,0253"
2019,1,SANTANDER,ONZAGA,69,4111,"0,0168"
2019,4,SANTANDER,CURITI,164,13028,"0,0126"
2018,3,SANTANDER,VETAS,26,2114,"0,0123"
2019,2,SANTANDER,PINCHOTE,527,5285,"0,0997"
2018,4,SANTANDER,RIONEGRO,214,26438,"0,0081"
2019,3,SANTANDER,ZAPATOCA,231,9507,"0,0243"
2018,4,SANTANDER,GIRON,25924,160403,"0,1616"
2019,1,SANTANDER,ARATOCA,227,8368,"0,0271"
2019,1,SANTANDER,PIEDECUESTA,29940,177586,"0,1686"
2018,3,SANTANDER,BARBOSA,2244,31050,"0,0723"
2019,3,SANTANDER,SAN BENITO,29,2957,"0,0098"
2019,1,SANTANDER,CONCEPCION,109,5738,"0,019"
2019,1,SANTANDER,SAN MIGUEL,52,2494,"0,0209"
2019,3,SANTANDER,CONTRATACION,224,3683,"0,0608"
2019,3,SANTANDER,MALAGA,1410,21339,"0,0661"
2019,3,SANTANDER,ENCINO,44,2567,"0,0171"
2018,4,SANTANDER,SAN JOSE DE MIRANDA,76,4367,"0,0174"
2018,4,SANTANDER,JORDAN,15,1314,"0,0114"
2019,3,SANTANDER,LEBRIJA,1333,43145,"0,0309"
2019,2,SANTANDER,MOGOTES,206,10576,"0,0195"
2019,1,SANTANDER,GUAVATA,36,4200,"0,0086"
2018,4,SANTANDER,ZAPATOCA,302,9466,"0,0319"
2019,3,SANTANDER,COROMORO,34,5009,"0,0068"
2018,3,SANTANDER,CAPITANEJO,223,5505,"0,0405"
2018,3,SANTANDER,FLORIDABLANCA,69684,291935,"0,2387"
2019,1,SANTANDER,BETULIA,76,6003,"0,0127"
2018,4,SANTANDER,CONFINES,28,3159,"0,0089"
2019,4,SANTANDER,BOLIVAR,53,11073,"0,0048"
2019,2,SANTANDER,ARATOCA,264,8368,"0,0315"
2019,2,SANTANDER,SABANA DE TORRES,1358,33887,"0,0401"
2019,1,SANTANDER,CONFINES,28,3233,"0,0087"
2020,1,SANTANDER,SUAITA,41,10158,"0,004"
2020,1,SANTANDER,SAN MIGUEL,23,2478,"0,0093"
2019,2,SANTANDER,BOLIVAR,93,11073,"0,0084"
2019,3,SANTANDER,SIMACOTA,76,10138,"0,0075"
2019,2,SANTANDER,PALMAR,36,1386,"0,026"
2019,1,SANTANDER,VILLANUEVA,192,7927,"0,0242"
2020,1,SANTANDER,FLORIDABLANCA,67776,307896,"0,2201"
2018,3,SANTANDER,CARCASI,39,4292,"0,0091"
2019,2,SANTANDER,ALBANIA,31,4242,"0,0073"
2019,4,SANTANDER,SAN JOAQUIN,15,2215,"0,0068"
2018,3,SANTANDER,OIBA,103,10800,"0,0095"
2018,3,SANTANDER,VELEZ,433,24356,"0,0178"
2018,3,SANTANDER,CHIPATA,40,5075,"0,0079"
2019,2,SANTANDER,LOS SANTOS,85,14485,"0,0059"
2018,3,SANTANDER,BETULIA,72,5941,"0,0121"
2018,4,SANTANDER,GUACA,65,5916,"0,011"
2020,1,SANTANDER,SAN ANDRES,42,8596,"0,0049"
2019,3,SANTANDER,MATANZA,98,4999,"0,0196"
2018,3,SANTANDER,MATANZA,90,4976,"0,0181"
2019,2,SANTANDER,BARRANCABERMEJA,35943,207494,"0,1732"
2018,3,SANTANDER,PALMAR,34,1361,"0,025"
2019,2,SANTANDER,FLORIAN,72,5569,"0,0129"
2018,4,SANTANDER,CABRERA,27,1937,"0,0139"
2019,1,SANTANDER,BARBOSA,2120,31940,"0,0664"
2019,1,SANTANDER,FLORIDABLANCA,65377,300730,"0,2174"
2019,4,SANTANDER,SIMACOTA,36,10138,"0,0036"
2020,1,SANTANDER,VETAS,11,2168,"0,0051"
2019,4,SANTANDER,CHIPATA,40,5084,"0,0079"
2019,4,SANTANDER,PUERTO WILCHES,960,33572,"0,0286"
2019,1,SANTANDER,BOLIVAR,82,11073,"0,0074"
2019,1,SANTANDER,JORDAN,15,1325,"0,0113"
2019,3,SANTANDER,VILLANUEVA,198,7927,"0,025"
2019,2,SANTANDER,SAN GIL,8014,58032,"0,1381"
2019,3,SANTANDER,BARICHARA,787,10674,"0,0737"
2019,3,SANTANDER,GALAN,79,2883,"0,0274"
2019,3,SANTANDER,CURITI,248,13028,"0,019"
2019,2,SANTANDER,BARICHARA,766,10674,"0,0718"
2019,2,SANTANDER,CURITI,259,13028,"0,0199"
2019,2,SANTANDER,GALAN,74,2883,"0,0257"
2019,3,SANTANDER,SAN GIL,12322,58032,"0,2123"
2019,2,SANTANDER,VILLANUEVA,201,7927,"0,0254"
2020,2,SANTANDER,GAMBITA,34,4013,"0,0085"
2017,3,SANTANDER,SANTA HELENA DEL OPON,0,4275,0
2017,3,SANTANDER,PARAMO,0,4201,0
2017,3,SANTANDER,CALIFORNIA,0,2020,0
2017,3,SANTANDER,CONFINES,0,2698,0
2017,4,SANTANDER,SURATA,0,3225,0
2017,3,SANTANDER,FLORIAN,0,6284,0
2017,4,SANTANDER,SUCRE,0,8246,0
2017,4,SANTANDER,GUAVATA,0,3549,0
2017,3,SANTANDER,PUENTE NACIONAL,0,12086,0
2017,3,SANTANDER,PALMAR,0,3423,0
2017,4,SANTANDER,ENCISO,0,3202,0
2020,2,SANTANDER,CALIFORNIA,23,2232,"0,0103"
2017,4,SANTANDER,PALMAR,0,3423,0
2017,4,SANTANDER,BETULIA,0,5061,0
2020,2,SANTANDER,ZAPATOCA,44,9566,"0,0046"
2020,2,SANTANDER,ARATOCA,439,8487,"0,0517"
2020,2,SANTANDER,JESUS MARIA,23,3339,"0,0069"
2017,3,SANTANDER,CHIPATA,0,5071,0
2017,3,SANTANDER,MOLAGAVITA,0,5087,0
2020,2,SANTANDER,RIONEGRO,201,27062,"0,0074"
2017,3,SANTANDER,CHIMA,0,3042,0
2020,2,SANTANDER,GsEPSA,106,5309,"0,02"
2017,3,SANTANDER,MOGOTES,0,10878,0
2017,3,SANTANDER,SOCORRO,0,30847,0
2020,1,SANTANDER,VELEZ,581,25219,"0,023"
2017,3,SANTANDER,PALMAS DEL SOCORRO,0,2220,0
2020,2,SANTANDER,PARAMO,287,4869,"0,0589"
2017,4,SANTANDER,OCAMONTE,0,4723,0
2017,3,SANTANDER,CABRERA,0,2356,0
2017,3,SANTANDER,CONCEPCION,0,5177,0
2020,2,SANTANDER,VETAS,18,2168,"0,0083"
2017,4,SANTANDER,OIBA,0,11896,0
2020,2,SANTANDER,CHIPATA,54,5093,"0,0106"
2020,2,SANTANDER,SABANA DE TORRES,1113,34556,"0,0322"
2020,2,SANTANDER,SIMACOTA,47,10226,"0,0046"
2020,2,SANTANDER,MALAGA,1120,21672,"0,0517"
2017,3,SANTANDER,SURATA,0,3225,0
2017,3,SANTANDER,CHARALA,0,10373,0
2017,3,SANTANDER,CONTRATACION,0,3409,0
2017,3,SANTANDER,EL PLAYON,0,11520,0
2020,2,SANTANDER,GUACA,32,5909,"0,0054"
2017,4,SANTANDER,EL PE�ON,0,5076,0
