AÑO,TRIMESTRE,DEPARTAMENTO,MUNICIPIO,No. ACCESOS FIJOS A INTERNET,POBLACIÓN DANE,INDICE
2020,2,SANTANDER,EL CARMEN DE CHUCURI,39,21820,"0,0018"
2017,4,SANTANDER,SAN BENITO,0,4007,0
2017,4,SANTANDER,CURITI,0,11980,0
2017,3,SANTANDER,SUAITA,0,10142,0
2017,4,SANTANDER,LEBRIJA,0,40252,0
2020,2,SANTANDER,SANTA BARBARA,21,2448,"0,0086"
2020,1,SANTANDER,CIMITARRA,1052,34403,"0,0306"
2017,3,SANTANDER,RIONEGRO,0,26680,0
2020,2,SANTANDER,OIBA,63,11175,"0,0056"
2020,2,SANTANDER,CONFINES,20,3294,"0,0061"
2017,3,SANTANDER,GUACA,0,6296,0
2020,2,SANTANDER,MOGOTES,41,10647,"0,0039"
2017,3,SANTANDER,PUERTO WILCHES,0,31501,0
2017,3,SANTANDER,OCAMONTE,0,4723,0
2017,3,SANTANDER,VILLANUEVA,0,5652,0
2017,3,SANTANDER,GAMBITA,0,5038,0
2017,3,SANTANDER,TONA,0,7168,0
2020,1,SANTANDER,BARBOSA,2885,32653,"0,0884"
2020,2,SANTANDER,JORDAN,9,1336,"0,0067"
2020,2,SANTANDER,SUAITA,49,10158,"0,0048"
2020,2,SANTANDER,ONZAGA,24,4082,"0,0059"
2017,3,SANTANDER,CURITI,0,11980,0
2017,3,SANTANDER,SIMACOTA,0,7593,0
2017,4,SANTANDER,MOGOTES,0,10878,0
2020,2,SANTANDER,CONTRATACION,192,3699,"0,0519"
2017,4,SANTANDER,LOS SANTOS,0,12423,0
2020,2,SANTANDER,CERRITO,150,6933,"0,0216"
2020,2,SANTANDER,LOS SANTOS,187,14787,"0,0126"
2017,4,SANTANDER,SAN JOAQUIN,0,2407,0
2020,2,SANTANDER,CAPITANEJO,77,5479,"0,0141"
2017,3,SANTANDER,CHARTA,0,2592,0
2020,2,SANTANDER,MACARAVITA,14,2104,"0,0067"
2017,4,SANTANDER,VILLANUEVA,0,5652,0
2020,2,SANTANDER,CHARTA,34,2888,"0,0118"
2017,4,SANTANDER,GUAPOTA,0,2112,0
2017,4,SANTANDER,CONFINES,0,2698,0
2017,4,SANTANDER,CALIFORNIA,0,2020,0
2020,2,SANTANDER,CHIMA,15,2866,"0,0052"
2017,3,SANTANDER,SABANA DE TORRES,0,18325,0
2017,4,SANTANDER,GUADALUPE,0,4604,0
2017,3,SANTANDER,CEPITA,0,1832,0
2020,2,SANTANDER,FLORIDABLANCA,69904,307896,"0,227"
2017,4,SANTANDER,PUERTO PARRA,0,7768,0
2020,2,SANTANDER,PIEDECUESTA,34976,182959,"0,1912"
2017,4,SANTANDER,SUAITA,0,10142,0
2017,3,SANTANDER,SAN MIGUEL,0,2310,0
2017,4,SANTANDER,PALMAS DEL SOCORRO,0,2220,0
2017,4,SANTANDER,SANTA BARBARA,0,2100,0
2020,2,SANTANDER,VALLE DE SAN JOSE,239,6336,"0,0377"
2020,2,SANTANDER,CARCASI,24,4259,"0,0056"
2017,4,SANTANDER,JORDAN,0,1092,0
2020,2,SANTANDER,BETULIA,48,6061,"0,0079"
2020,2,SANTANDER,HATO,19,2370,"0,008"
2017,3,SANTANDER,SAN BENITO,0,4007,0
2020,2,SANTANDER,LA BELLEZA,269,6178,"0,0435"
2017,4,SANTANDER,SOCORRO,0,30847,0
2017,3,SANTANDER,ALBANIA,0,5230,0
2017,3,SANTANDER,GUAVATA,0,3549,0
2017,4,SANTANDER,BOLIVAR,0,12060,0
2017,4,SANTANDER,SANTA HELENA DEL OPON,0,4275,0
2017,4,SANTANDER,ARATOCA,0,8291,0
2020,2,SANTANDER,SAN JOSE DE MIRANDA,75,4289,"0,0175"
2017,4,SANTANDER,LANDAZURI,0,15418,0
2017,4,SANTANDER,BARBOSA,0,29106,0
2017,4,SANTANDER,TONA,0,7168,0
2017,4,SANTANDER,MOLAGAVITA,0,5087,0
2017,4,SANTANDER,HATO,0,2331,0
2017,3,SANTANDER,OIBA,0,11896,0
2017,3,SANTANDER,GUAPOTA,0,2112,0
2017,4,SANTANDER,BARRANCABERMEJA,0,191616,0
2017,3,SANTANDER,ONZAGA,0,4946,0
2017,3,SANTANDER,CAPITANEJO,0,5481,0
2017,3,SANTANDER,EL PE�ON,0,5076,0
2017,4,SANTANDER,PUENTE NACIONAL,0,12086,0
2017,4,SANTANDER,MATANZA,0,5201,0
2020,2,SANTANDER,PUENTE NACIONAL,106,14844,"0,0071"
2020,2,SANTANDER,SURATA,34,3987,"0,0085"
2017,4,SANTANDER,SAN VICENTE DE CHUCURI,0,34881,0
2017,4,SANTANDER,CARCASI,0,4989,0
2020,2,SANTANDER,MATANZA,72,5035,"0,0143"
2020,2,SANTANDER,CHARALA,177,12272,"0,0144"
2017,3,SANTANDER,BARBOSA,0,29106,0
2017,3,SANTANDER,JORDAN,0,1092,0
2017,3,SANTANDER,COROMORO,0,7612,0
2020,2,SANTANDER,GUADALUPE,33,4468,"0,0074"
2017,4,SANTANDER,JESUS MARIA,0,3080,0
2017,4,SANTANDER,VETAS,0,2454,0
2017,3,SANTANDER,ENCISO,0,3202,0
2020,2,SANTANDER,EL PLAYON,211,14038,"0,015"
2017,4,SANTANDER,SAN ANDRES,0,8315,0
2017,4,SANTANDER,CEPITA,0,1832,0
2017,4,SANTANDER,FLORIDABLANCA,0,266617,0
2017,3,SANTANDER,BARICHARA,0,7112,0
2017,4,SANTANDER,VALLE DE SAN JOSE,0,4551,0
2017,3,SANTANDER,CARCASI,0,4989,0
2017,3,SANTANDER,PUERTO PARRA,0,7768,0
2020,2,SANTANDER,LA PAZ,25,4917,"0,0051"
2020,2,SANTANDER,SAN JOAQUIN,16,2208,"0,0072"
2017,3,SANTANDER,CERRITO,0,5596,0
2017,3,SANTANDER,GsEPSA,0,3772,0
2017,3,SANTANDER,GALAN,0,2196,0
2020,2,SANTANDER,EL PE�ON,29,5507,"0,0053"
2017,4,SANTANDER,CAPITANEJO,0,5481,0
2020,2,SANTANDER,EL GUACAMAYO,50,2085,"0,024"
2017,4,SANTANDER,CHARALA,0,10373,0
2017,4,SANTANDER,CHIPATA,0,5071,0
2017,4,SANTANDER,GAMBITA,0,5038,0
2017,3,SANTANDER,PIEDECUESTA,0,156207,0
2020,2,SANTANDER,AGUADA,14,1867,"0,0075"
2017,2,SANTANDER,LOS SANTOS,0,12423,0
2018,2,SANTANDER,PUERTO WILCHES,1694,32791,"0,0517"
2018,2,SANTANDER,CONCEPCION,123,5738,"0,0214"
2018,1,SANTANDER,MALAGA,1620,20945,"0,0773"
2018,1,SANTANDER,GsEPSA,167,5114,"0,0327"
2017,2,SANTANDER,PUENTE NACIONAL,0,12086,0
2020,3,SANTANDER,RIONEGRO,164,27062,"0,0061"
2017,1,SANTANDER,RIONEGRO,0,26680,0
2018,1,SANTANDER,CONCEPCION,122,5738,"0,0213"
2017,1,SANTANDER,AGUADA,0,1800,0
2018,1,SANTANDER,SAN VICENTE DE CHUCURI,864,33133,"0,0261"
2017,2,SANTANDER,CEPITA,0,1832,0
2018,1,SANTANDER,BETULIA,77,5941,"0,013"
2017,1,SANTANDER,MACARAVITA,0,2299,0
2017,1,SANTANDER,LA BELLEZA,0,8594,0
2018,1,SANTANDER,BARRANCABERMEJA,32858,203537,"0,1614"
2017,1,SANTANDER,OCAMONTE,0,4723,0
2017,2,SANTANDER,ENCISO,0,3202,0
2020,3,SANTANDER,CEPITA,177,2025,"0,0874"
2017,1,SANTANDER,CONFINES,0,2698,0
2020,3,SANTANDER,CHARALA,800,12272,"0,0652"
2020,3,SANTANDER,LA PAZ,32,4917,"0,0065"
2020,3,SANTANDER,GUAPOTA,22,2413,"0,0091"
2018,1,SANTANDER,CURITI,183,12717,"0,0144"
2020,3,SANTANDER,LANDAZURI,80,10588,"0,0076"
2020,3,SANTANDER,SAN VICENTE DE CHUCURI,1619,33593,"0,0482"
2017,2,SANTANDER,GALAN,0,2196,0
2018,1,SANTANDER,SABANA DE TORRES,1046,33055,"0,0316"
2020,3,SANTANDER,GUAVATA,20,4191,"0,0048"
2020,3,SANTANDER,SAN JOSE DE MIRANDA,94,4289,"0,0219"
2018,1,SANTANDER,VELEZ,481,24356,"0,0197"
2017,2,SANTANDER,PARAMO,0,4201,0
2017,1,SANTANDER,SAN GIL,0,45752,0
2020,3,SANTANDER,GUADALUPE,30,4468,"0,0067"
2020,3,SANTANDER,CAPITANEJO,69,5479,"0,0126"
2020,3,SANTANDER,PARAMO,223,4869,"0,0458"
2017,2,SANTANDER,SAN BENITO,0,4007,0
2017,2,SANTANDER,CURITI,0,11980,0
2020,3,SANTANDER,CONTRATACION,323,3699,"0,0873"
2017,2,SANTANDER,CARCASI,0,4989,0
2020,3,SANTANDER,PIEDECUESTA,36452,182959,"0,1992"
2017,1,SANTANDER,CAPITANEJO,0,5481,0
2018,1,SANTANDER,BARICHARA,346,10486,"0,033"
2017,1,SANTANDER,SAN VICENTE DE CHUCURI,0,34881,0
2020,3,SANTANDER,PALMAS DEL SOCORRO,14,2626,"0,0053"
2017,2,SANTANDER,SOCORRO,0,30847,0
2018,2,SANTANDER,EL PLAYON,319,13713,"0,0233"
2018,2,SANTANDER,BARRANCABERMEJA,33313,203537,"0,1637"
2018,1,SANTANDER,FLORIAN,73,5562,"0,0131"
2018,1,SANTANDER,MOGOTES,241,10527,"0,0229"
2018,2,SANTANDER,SUAITA,166,10031,"0,0165"
2017,2,SANTANDER,SURATA,0,3225,0
2017,1,SANTANDER,VILLANUEVA,0,5652,0
2017,2,SANTANDER,VETAS,0,2454,0
2018,2,SANTANDER,LANDAZURI,171,10384,"0,0165"
2018,2,SANTANDER,HATO,39,2328,"0,0168"
2017,2,SANTANDER,SAN VICENTE DE CHUCURI,0,34881,0
2017,1,SANTANDER,LOS SANTOS,0,12423,0
2017,2,SANTANDER,EL PLAYON,0,11520,0
2017,2,SANTANDER,BARBOSA,0,29106,0
2020,3,SANTANDER,VELEZ,703,25219,"0,0279"
2017,1,SANTANDER,BARRANCABERMEJA,0,191616,0
2017,1,SANTANDER,GUAPOTA,0,2112,0
2017,2,SANTANDER,PALMAR,0,3423,0
2018,1,SANTANDER,LOS SANTOS,71,14106,"0,005"
2018,2,SANTANDER,GUACA,76,5916,"0,0128"
2017,2,SANTANDER,BETULIA,0,5061,0
2018,2,SANTANDER,VALLE DE SAN JOSE,76,6084,"0,0125"
2020,3,SANTANDER,GALAN,60,2891,"0,0208"
2020,3,SANTANDER,CHIPATA,58,5093,"0,0114"
2017,1,SANTANDER,LANDAZURI,0,15418,0
2017,2,SANTANDER,SIMACOTA,0,7593,0
2020,2,SANTANDER,BARRANCABERMEJA,41238,210729,"0,1957"
2020,3,SANTANDER,MACARAVITA,13,2104,"0,0062"
2017,1,SANTANDER,SUAITA,0,10142,0
2018,2,SANTANDER,LA BELLEZA,239,6198,"0,0386"
2017,1,SANTANDER,GsEPSA,0,3772,0
2020,3,SANTANDER,SAN JOAQUIN,14,2208,"0,0063"
2017,2,SANTANDER,CHARTA,0,2592,0
2018,1,SANTANDER,SAN MIGUEL,51,2531,"0,0202"
2017,1,SANTANDER,FLORIAN,0,6284,0
2020,3,SANTANDER,SUAITA,39,10158,"0,0038"
2017,1,SANTANDER,BARBOSA,0,29106,0
2017,1,SANTANDER,JORDAN,0,1092,0
2018,1,SANTANDER,PIEDECUESTA,27445,170625,"0,1608"
2017,1,SANTANDER,CONTRATACION,0,3409,0
2018,2,SANTANDER,BUCARAMANGA,148588,581130,"0,2557"
2017,1,SANTANDER,PINCHOTE,0,5373,0
2020,3,SANTANDER,AGUADA,25,1867,"0,0134"
2018,1,SANTANDER,JORDAN,15,1314,"0,0114"
2018,1,SANTANDER,RIONEGRO,229,26438,"0,0087"
2017,2,SANTANDER,CONFINES,0,2698,0
2020,3,SANTANDER,SANTA BARBARA,15,2448,"0,0061"
2018,1,SANTANDER,CARCASI,40,4292,"0,0093"
2017,1,SANTANDER,ALBANIA,0,5230,0
2018,2,SANTANDER,CONFINES,34,3159,"0,0108"
2018,2,SANTANDER,ARATOCA,92,8229,"0,0112"
2017,1,SANTANDER,JESUS MARIA,0,3080,0
2018,1,SANTANDER,SOCORRO,3166,32158,"0,0985"
2018,2,SANTANDER,SIMACOTA,98,10042,"0,0098"
2018,2,SANTANDER,BARICHARA,402,10486,"0,0383"
2018,2,SANTANDER,OCAMONTE,60,5661,"0,0106"
2017,2,SANTANDER,CHIPATA,0,5071,0
2017,1,SANTANDER,CIMITARRA,0,47096,0
2018,2,SANTANDER,ALBANIA,36,4129,"0,0087"
2017,2,SANTANDER,GUADALUPE,0,4604,0
2020,3,SANTANDER,VILLANUEVA,291,7982,"0,0365"
2018,2,SANTANDER,SUCRE,80,7202,"0,0111"
2017,1,SANTANDER,PALMAR,0,3423,0
2018,1,SANTANDER,GUADALUPE,82,4511,"0,0182"
2017,2,SANTANDER,GUAPOTA,0,2112,0
2020,3,SANTANDER,CURITI,931,13283,"0,0701"
2018,2,SANTANDER,RIONEGRO,233,26438,"0,0088"
2018,2,SANTANDER,SAN JOAQUIN,50,2241,"0,0223"
2020,3,SANTANDER,ALBANIA,8,4336,"0,0018"
2017,1,SANTANDER,SIMACOTA,0,7593,0
2018,1,SANTANDER,BOLIVAR,86,11287,"0,0076"
2018,1,SANTANDER,PUENTE NACIONAL,196,14654,"0,0134"
2020,3,SANTANDER,COROMORO,18,5024,"0,0036"
2018,1,SANTANDER,SAN GIL,8286,56037,"0,1479"
2018,2,SANTANDER,ENCINO,40,2552,"0,0157"
2018,1,SANTANDER,ALBANIA,34,4129,"0,0082"
2018,2,SANTANDER,JORDAN,16,1314,"0,0122"
2018,2,SANTANDER,MOLAGAVITA,40,4137,"0,0097"
2017,2,SANTANDER,GUACA,0,6296,0
2017,1,SANTANDER,BETULIA,0,5061,0
2018,2,SANTANDER,GIRON,28487,160403,"0,1776"
2017,1,SANTANDER,CABRERA,0,2356,0
2020,3,SANTANDER,GIRON,31099,171904,"0,1809"
2018,1,SANTANDER,FLORIDABLANCA,68140,291935,"0,2334"
2017,2,SANTANDER,COROMORO,0,7612,0
2018,2,SANTANDER,SAN VICENTE DE CHUCURI,1064,33133,"0,0321"
2017,1,SANTANDER,VELEZ,0,18932,0
2018,2,SANTANDER,CHIPATA,39,5075,"0,0077"
2018,2,SANTANDER,VETAS,32,2114,"0,0151"
2018,2,SANTANDER,GAMBITA,49,4021,"0,0122"
2018,2,SANTANDER,PALMAS DEL SOCORRO,38,2535,"0,015"
2018,1,SANTANDER,MACARAVITA,44,2171,"0,0203"
2018,2,SANTANDER,CHIMA,33,2875,"0,0115"
2018,1,SANTANDER,JESUS MARIA,39,3342,"0,0117"
2020,3,SANTANDER,MATANZA,139,5035,"0,0276"
2020,3,SANTANDER,LA BELLEZA,271,6178,"0,0439"
2018,2,SANTANDER,MALAGA,1575,20945,"0,0752"
2018,1,SANTANDER,PALMAS DEL SOCORRO,38,2535,"0,015"
2020,3,SANTANDER,FLORIAN,20,5589,"0,0036"
2017,2,SANTANDER,EL PE�ON,0,5076,0
2018,2,SANTANDER,PIEDECUESTA,28073,170625,"0,1645"
2017,1,SANTANDER,MALAGA,0,18308,0
2017,2,SANTANDER,MACARAVITA,0,2299,0
2020,3,SANTANDER,VALLE DE SAN JOSE,234,6336,"0,0369"
2018,2,SANTANDER,EL PE�ON,39,5279,"0,0074"
2018,1,SANTANDER,ARATOCA,91,8229,"0,0111"
2017,2,SANTANDER,GAMBITA,0,5038,0
2020,3,SANTANDER,MALAGA,1033,21672,"0,0477"
2018,2,SANTANDER,CIMITARRA,1448,32947,"0,0439"
2017,1,SANTANDER,GALAN,0,2196,0
2018,1,SANTANDER,CAPITANEJO,268,5505,"0,0487"
2017,2,SANTANDER,JORDAN,0,1092,0
2020,3,SANTANDER,GUACA,24,5909,"0,0041"
2018,1,SANTANDER,TONA,81,7373,"0,011"
2020,3,SANTANDER,CERRITO,174,6933,"0,0251"
2017,1,SANTANDER,SAN ANDRES,0,8315,0
2018,1,SANTANDER,CERRITO,116,6729,"0,0172"
2017,2,SANTANDER,ALBANIA,0,5230,0
2017,1,SANTANDER,SOCORRO,0,30847,0
2018,1,SANTANDER,LEBRIJA,1573,41835,"0,0376"
2018,2,SANTANDER,SURATA,45,3975,"0,0113"
2018,2,SANTANDER,SOCORRO,4006,32158,"0,1246"
2018,2,SANTANDER,ZAPATOCA,374,9466,"0,0395"
2017,1,SANTANDER,CHIMA,0,3042,0
2017,1,SANTANDER,SURATA,0,3225,0
2017,2,SANTANDER,EL CARMEN DE CHUCURI,0,20476,0
2017,1,SANTANDER,CHARALA,0,10373,0
2018,2,SANTANDER,CAPITANEJO,268,5505,"0,0487"
2020,3,SANTANDER,LOS SANTOS,125,14787,"0,0085"
2017,2,SANTANDER,SAN JOAQUIN,0,2407,0
2018,2,SANTANDER,CARCASI,41,4292,"0,0096"
2018,1,SANTANDER,SANTA HELENA DEL OPON,36,3389,"0,0106"
2018,2,SANTANDER,SABANA DE TORRES,1106,33055,"0,0335"
2018,1,SANTANDER,PARAMO,56,4654,"0,012"
2017,1,SANTANDER,TONA,0,7168,0
2017,2,SANTANDER,AGUADA,0,1800,0
2017,2,SANTANDER,FLORIAN,0,6284,0
2017,2,SANTANDER,OCAMONTE,0,4723,0
2018,2,SANTANDER,PARAMO,57,4654,"0,0122"
2018,1,SANTANDER,SAN JOAQUIN,49,2241,"0,0219"
2018,2,SANTANDER,OIBA,114,10800,"0,0106"
2020,3,SANTANDER,ENCINO,15,2583,"0,0058"
2018,2,SANTANDER,CABRERA,34,1937,"0,0176"
2020,3,SANTANDER,EL PE�ON,25,5507,"0,0045"
2017,1,SANTANDER,LEBRIJA,0,40252,0
2018,2,SANTANDER,CALIFORNIA,42,2130,"0,0197"
2020,3,SANTANDER,SABANA DE TORRES,1002,34556,"0,029"
2017,2,SANTANDER,SAN MIGUEL,0,2310,0
2017,1,SANTANDER,ENCISO,0,3202,0
2017,2,SANTANDER,MALAGA,0,18308,0
2018,1,SANTANDER,VALLE DE SAN JOSE,317,6084,"0,0521"
2020,3,SANTANDER,LEBRIJA,1418,44169,"0,0321"
2017,2,SANTANDER,BOLIVAR,0,12060,0
2017,1,SANTANDER,MATANZA,0,5201,0
2018,1,SANTANDER,OIBA,112,10800,"0,0104"
2018,1,SANTANDER,SURATA,40,3975,"0,0101"
2017,1,SANTANDER,MOGOTES,0,10878,0
2020,3,SANTANDER,CHIMA,12,2866,"0,0042"
2017,1,SANTANDER,SAN BENITO,0,4007,0
2018,1,SANTANDER,LA BELLEZA,222,6198,"0,0358"
2017,2,SANTANDER,TONA,0,7168,0
2020,3,SANTANDER,CALIFORNIA,20,2232,"0,009"
2017,1,SANTANDER,EL PE�ON,0,5076,0
2017,1,SANTANDER,PIEDECUESTA,0,156207,0
2017,1,SANTANDER,EL PLAYON,0,11520,0
2018,2,SANTANDER,PINCHOTE,211,5162,"0,0409"
2020,2,SANTANDER,GIRON,29870,171904,"0,1738"
2018,1,SANTANDER,EL PLAYON,312,13713,"0,0228"
2018,1,SANTANDER,MATANZA,88,4976,"0,0177"
2018,1,SANTANDER,AGUADA,29,1855,"0,0156"
2017,1,SANTANDER,PUERTO PARRA,0,7768,0
2018,1,SANTANDER,ONZAGA,76,4183,"0,0182"
2018,1,SANTANDER,LA PAZ,52,4953,"0,0105"
2018,2,SANTANDER,LEBRIJA,1549,41835,"0,037"
2017,1,SANTANDER,SABANA DE TORRES,0,18325,0
2018,2,SANTANDER,SAN BENITO,44,2950,"0,0149"
2017,1,SANTANDER,BOLIVAR,0,12060,0
2018,1,SANTANDER,CHARALA,1143,12270,"0,0932"
2017,1,SANTANDER,SAN JOAQUIN,0,2407,0
2018,2,SANTANDER,VELEZ,482,24356,"0,0198"
2017,1,SANTANDER,LA PAZ,0,5075,0
2018,1,SANTANDER,CHIPATA,39,5075,"0,0077"
2020,3,SANTANDER,TONA,133,7718,"0,0172"
2020,3,SANTANDER,SAN GIL,8392,59670,"0,1406"
2018,2,SANTANDER,VILLANUEVA,153,7873,"0,0194"
2017,1,SANTANDER,ENCINO,0,2459,0
2017,2,SANTANDER,PINCHOTE,0,5373,0
2017,1,SANTANDER,GUAVATA,0,3549,0
2017,1,SANTANDER,CONCEPCION,0,5177,0
2018,2,SANTANDER,GsEPSA,172,5114,"0,0336"
2018,1,SANTANDER,CALIFORNIA,41,2130,"0,0192"
2020,3,SANTANDER,SAN BENITO,11,2972,"0,0037"
2018,2,SANTANDER,BOLIVAR,86,11287,"0,0076"
2017,1,SANTANDER,VETAS,0,2454,0
2017,1,SANTANDER,GUACA,0,6296,0
2018,1,SANTANDER,OCAMONTE,59,5661,"0,0104"
2017,2,SANTANDER,LA BELLEZA,0,8594,0
2018,2,SANTANDER,SAN GIL,7107,56037,"0,1268"
2020,3,SANTANDER,EL CARMEN DE CHUCURI,182,21820,"0,0083"
2020,3,SANTANDER,CIMITARRA,991,34403,"0,0288"
2017,2,SANTANDER,SANTA BARBARA,0,2100,0
2018,1,SANTANDER,BUCARAMANGA,147497,581130,"0,2538"
2017,2,SANTANDER,MOLAGAVITA,0,5087,0
2017,1,SANTANDER,CHIPATA,0,5071,0
2018,1,SANTANDER,VETAS,31,2114,"0,0147"
2020,3,SANTANDER,EL GUACAMAYO,68,2085,"0,0326"
2017,2,SANTANDER,MOGOTES,0,10878,0
2018,2,SANTANDER,LOS SANTOS,73,14106,"0,0052"
2018,2,SANTANDER,GUAVATA,42,4230,"0,0099"
2017,2,SANTANDER,GIRON,0,190350,0
2018,1,SANTANDER,MOLAGAVITA,39,4137,"0,0094"
2018,1,SANTANDER,SUAITA,164,10031,"0,0163"
2018,2,SANTANDER,SAN ANDRES,198,8683,"0,0228"
2020,3,SANTANDER,FLORIDABLANCA,71759,307896,"0,2331"
2017,1,SANTANDER,ARATOCA,0,8291,0
2017,2,SANTANDER,BARRANCABERMEJA,0,191616,0
2018,2,SANTANDER,ENCISO,54,3461,"0,0156"
2017,1,SANTANDER,PUENTE NACIONAL,0,12086,0
2020,3,SANTANDER,BOLIVAR,69,10980,"0,0063"
2017,2,SANTANDER,HATO,0,2331,0
2020,3,SANTANDER,BARRANCABERMEJA,41826,210729,"0,1985"
2020,3,SANTANDER,ZAPATOCA,35,9566,"0,0037"
2017,1,SANTANDER,GIRON,0,190350,0
2020,3,SANTANDER,CHARTA,37,2888,"0,0128"
2018,2,SANTANDER,CHARTA,52,2888,"0,018"
2020,3,SANTANDER,SIMACOTA,40,10226,"0,0039"
2017,1,SANTANDER,EL GUACAMAYO,0,1943,0
2017,1,SANTANDER,OIBA,0,11896,0
2018,2,SANTANDER,PUERTO PARRA,138,7640,"0,0181"
2020,3,SANTANDER,ONZAGA,21,4082,"0,0051"
2018,2,SANTANDER,SAN MIGUEL,54,2531,"0,0213"
2020,2,SANTANDER,BUCARAMANGA,145515,607428,"0,2396"
2018,2,SANTANDER,SAN JOSE DE MIRANDA,78,4367,"0,0179"
2018,2,SANTANDER,SANTA HELENA DEL OPON,36,3389,"0,0106"
2018,1,SANTANDER,SAN BENITO,44,2950,"0,0149"
2017,2,SANTANDER,PUERTO WILCHES,0,31501,0
2017,1,SANTANDER,CALIFORNIA,0,2020,0
2018,1,SANTANDER,GALAN,57,2886,"0,0198"
2017,2,SANTANDER,SANTA HELENA DEL OPON,0,4275,0
2018,2,SANTANDER,CEPITA,35,2015,"0,0174"
2018,1,SANTANDER,CEPITA,33,2015,"0,0164"
2017,2,SANTANDER,SAN GIL,0,45752,0
2020,3,SANTANDER,CONFINES,15,3294,"0,0046"
2017,1,SANTANDER,GAMBITA,0,5038,0
2020,3,SANTANDER,JESUS MARIA,23,3339,"0,0069"
2017,2,SANTANDER,SUAITA,0,10142,0
2017,2,SANTANDER,CERRITO,0,5596,0
2017,2,SANTANDER,SUCRE,0,8246,0
2017,2,SANTANDER,VELEZ,0,18932,0
2017,1,SANTANDER,SAN MIGUEL,0,2310,0
2017,1,SANTANDER,CARCASI,0,4989,0
2017,1,SANTANDER,GUADALUPE,0,4604,0
2018,2,SANTANDER,FLORIDABLANCA,68853,291935,"0,2359"
2018,2,SANTANDER,GUAPOTA,43,2375,"0,0181"
2018,2,SANTANDER,PALMAR,41,1361,"0,0301"
2018,1,SANTANDER,GUACA,75,5916,"0,0127"
2018,2,SANTANDER,EL GUACAMAYO,76,2167,"0,0351"
2017,1,SANTANDER,SANTA BARBARA,0,2100,0
2020,3,SANTANDER,VETAS,18,2168,"0,0083"
2017,1,SANTANDER,CEPITA,0,1832,0
2018,2,SANTANDER,MACARAVITA,44,2171,"0,0203"
2020,3,SANTANDER,GAMBITA,30,4013,"0,0075"
2018,2,SANTANDER,BETULIA,78,5941,"0,0131"
2018,2,SANTANDER,EL CARMEN DE CHUCURI,156,20916,"0,0075"
2018,1,SANTANDER,PUERTO PARRA,133,7640,"0,0174"
2017,2,SANTANDER,FLORIDABLANCA,0,266617,0
2017,1,SANTANDER,SAN JOSE DE MIRANDA,0,4256,0
2020,3,SANTANDER,BARICHARA,939,10815,"0,0868"
2018,2,SANTANDER,LA PAZ,56,4953,"0,0113"
2018,1,SANTANDER,BARBOSA,2179,31050,"0,0702"
2018,2,SANTANDER,BARBOSA,2171,31050,"0,0699"
2017,2,SANTANDER,CAPITANEJO,0,5481,0
2017,2,SANTANDER,LANDAZURI,0,15418,0
2017,2,SANTANDER,LA PAZ,0,5075,0
2018,1,SANTANDER,ZAPATOCA,372,9466,"0,0393"
2018,1,SANTANDER,GUAVATA,42,4230,"0,0099"
2017,1,SANTANDER,SUCRE,0,8246,0
2020,3,SANTANDER,BARBOSA,3118,32653,"0,0955"
2018,1,SANTANDER,SAN ANDRES,198,8683,"0,0228"
2018,1,SANTANDER,SIMACOTA,96,10042,"0,0096"
2018,1,SANTANDER,PINCHOTE,245,5162,"0,0475"
2020,3,SANTANDER,BETULIA,31,6061,"0,0051"
2017,2,SANTANDER,ONZAGA,0,4946,0
2020,2,SANTANDER,SOCORRO,3382,33628,"0,1006"
2017,1,SANTANDER,ZAPATOCA,0,8847,0
2017,1,SANTANDER,CURITI,0,11980,0
2018,1,SANTANDER,EL PE�ON,37,5279,"0,007"
2018,2,SANTANDER,CHARALA,251,12270,"0,0205"
2018,2,SANTANDER,MATANZA,91,4976,"0,0183"
2020,3,SANTANDER,GsEPSA,100,5309,"0,0188"
2017,2,SANTANDER,VALLE DE SAN JOSE,0,4551,0
2018,1,SANTANDER,SAN JOSE DE MIRANDA,76,4367,"0,0174"
2018,1,SANTANDER,EL CARMEN DE CHUCURI,125,20916,"0,006"
2018,1,SANTANDER,CONFINES,33,3159,"0,0104"
2018,2,SANTANDER,CONTRATACION,209,3679,"0,0568"
2018,1,SANTANDER,HATO,38,2328,"0,0163"
2020,2,SANTANDER,LEBRIJA,1417,44169,"0,0321"
2017,1,SANTANDER,HATO,0,2331,0
2018,1,SANTANDER,COROMORO,59,5015,"0,0118"
2020,3,SANTANDER,CABRERA,12,2021,"0,0059"
2018,1,SANTANDER,ENCISO,53,3461,"0,0153"
2017,1,SANTANDER,PARAMO,0,4201,0
2017,1,SANTANDER,CHARTA,0,2592,0
2017,2,SANTANDER,ZAPATOCA,0,8847,0
2017,1,SANTANDER,BUCARAMANGA,0,528497,0
2020,2,SANTANDER,SAN GIL,8415,59670,"0,141"
2017,2,SANTANDER,VILLANUEVA,0,5652,0
2020,3,SANTANDER,ENCISO,33,3445,"0,0096"
2017,2,SANTANDER,CHARALA,0,10373,0
2017,1,SANTANDER,BARICHARA,0,7112,0
2017,2,SANTANDER,BUCARAMANGA,0,528497,0
2018,1,SANTANDER,GAMBITA,49,4021,"0,0122"
2018,1,SANTANDER,SANTA BARBARA,37,2401,"0,0154"
